0>2>6>14>30>62>126>254>509 bh_lcf_score0<1.6977,bh_lcf_score0<3.0004,bh_lcf_score0<4.3199,bh_scls_mt_classes_cos<0.0146618,cp_ulevel_3<2.0,bh_scls_mt_classes_cos<0.793035,bh_os_android<2.0,bh_cls_mt_classes_cos<0.763434 0.000652163
0>2>6>13>28>58>118>237>476 bh_lcf_score0<1.6977,bh_lcf_score0<3.0004,bh_lcf_score0<4.3199,bh_lcf_score0<3.4859,bh_scls_mt_classes_cos<0.0178082,cp_ulevel_3<2.0,bh_scls_mt_classes_cos<0.793035,cp_bhv_4<2.0 0.000476683
0>2>6>14>30>61>124>249>500 bh_lcf_score0<1.6977,bh_lcf_score0<3.0004,bh_lcf_score0<4.3199,bh_scls_mt_classes_cos<0.0146618,cp_ulevel_3<2.0,bh_conn_type_2<2.0,bh_cls_mt_classes_cos<0.0242637,clk_real_16h<7.0 0.000304173
0>2>6>13>28>58>117>236>473 bh_lcf_score0<1.6977,bh_lcf_score0<3.0004,bh_lcf_score0<4.3199,bh_lcf_score0<3.4859,bh_scls_mt_classes_cos<0.0178082,cp_ulevel_3<2.0,bh_lcf_score0<4.1858,bh_conn_type_2<2.0 9.57837e-05
0>2>6>14>29>60>121>244>489 bh_lcf_score0<1.6977,bh_lcf_score0<3.0004,bh_lcf_score0<4.3199,bh_scls_mt_classes_cos<0.0146618,ctr_real_36h<0.0930672,ctr_real_thirty<0.117056,bh_cls_mt_classes_cos<0.00164484,ctr_biased_sixty<0.124033 -5.61608e-05
0>2>6>13>28>57>116>234>470 bh_lcf_score0<1.6977,bh_lcf_score0<3.0004,bh_lcf_score0<4.3199,bh_lcf_score0<3.4859,bh_scls_mt_classes_cos<0.0178082,ctr_real_48h<0.0936607,ctr_real_thirty<0.140993,bh_lcf_score0<4.1858 -7.05844e-05
0>2>6>14>30>61>124>250>502 bh_lcf_score0<1.6977,bh_lcf_score0<3.0004,bh_lcf_score0<4.3199,bh_scls_mt_classes_cos<0.0146618,cp_ulevel_3<2.0,bh_conn_type_2<2.0,bh_cls_mt_classes_cos<0.0242637,bh_scls_mt_classes_cos<0.793035 -0.000661124
0>2>6>13>28>58>117>236>474 bh_lcf_score0<1.6977,bh_lcf_score0<3.0004,bh_lcf_score0<4.3199,bh_lcf_score0<3.4859,bh_scls_mt_classes_cos<0.0178082,cp_ulevel_3<2.0,bh_lcf_score0<4.1858,bh_conn_type_2<2.0 -0.000781993
0>2>6>13>27>56>114>229>459 bh_lcf_score0<1.6977,bh_lcf_score0<3.0004,bh_lcf_score0<4.3199,bh_lcf_score0<3.4859,bh_scls_mt_classes_cos<0.0178082,cp_ulevel_3<2.0,bh_scls_mt_classes_cos<0.793035,bh_conn_type_2<2.0 -0.00108132
0>2>6>14>29>59>120>242>486 bh_lcf_score0<1.6977,bh_lcf_score0<3.0004,bh_lcf_score0<4.3199,bh_scls_mt_classes_cos<0.0146618,ctr_real_36h<0.0930672,bh_cls_mt_classes_cos<0.00593997,bh_cls_mt_classes_cos<0.198651,mt_app_type_64<2.0 -0.00108849
